ID,name,country_name,country_id,totalptswon,aces,1st_servepct,1st_servewonpct,2nd_servewonpct,serve_rating,totalgamesplayed,totalgameswon,matcheswon,1st_servereturnwonpct,doublefaults,return_to_service_pts,aces_dfs_ratio,pts_dominance,returngamewon_pct,pt_time(secs),matches_played,games_dominance,breakpts_wonpct,aces_pct,service_games_wonpct,matches_wonpct,pts_won_per_rtngame,upsets_againstpct,tie_breakswon_pct
42,Pablo Andujar,Spain,ESP,26493,581,63.45,64.6,48.67,301.9,8343,3968,145,30.69,1099,1.006,0.529,0.949,24.88,41.06,358,0.837,55.82,2.07,71.52,38.18,2.496,23.64,
43,Pablo Carreno Busta,Spain,ESP,29557,1512,64.63,68.95,51.55,326.3,9117,4666,200,28.78,679,1.002,2.227,1.025,24.56,38.46,369,1.11,65.63,5.6,82.13,61.05,2.442,20,50.94
44,Daniil Medvedev,Russian Federation,RUS,20680,2077,59.64,74.82,51.97,337.9,6297,3404,173,30.09,874,1.029,2.376,1.129,25.62,40.04,259,1.476,62.31,12.06,85.33,75.37,2.623,17.91,62.5
45,Steve Johnson,United States,USA,27023,2793,59.33,74.96,52.09,341.4,8643,4330,169,25.59,1018,0.971,2.744,0.97,16.1,35.46,340,1,60.44,7.9,80.7,39.22,1.994,27.45,35.29
46,Martin Klizan,Slovakia,SVK,21706,1292,58.46,68.92,49.48,314.1,7542,3720,147,28.74,1005,0.961,1.286,0.948,23.26,39.33,300,0.925,59.78,4.91,72.41,,2.265,,
47,Jan Lennard Struff,Germany,GER,25285,2808,56.01,76.26,49.39,329.6,7964,3976,145,27.4,1139,1.008,2.465,1.004,19.3,37.25,314,0.993,62.32,13.26,82.37,52.78,2.38,17.59,42.31
48,Donald Young,United States,USA,23311,1012,59.8,67.28,48.96,305.2,7561,3515,124,28.46,1205,0.978,0.84,0.913,20.83,35.73,314,0.748,38.47,,,,,,
49,Thomaz Bellucci,Brazil,BRA,31456,2336,58.07,70.52,51.19,319.2,10891,5354,200,29.26,1247,1.016,1.873,0.99,21.42,39.46,417,0.923,38.85,,,,,,
50,Adrian Mannarino,France,FRA,34639,2093,60.47,69.26,50.59,318.1,10947,5364,208,28.63,1170,0.992,1.789,0.972,22.36,38.05,451,0.924,60.31,6.56,77.22,48.42,2.42,23.16,47.37
51,Joao Sousa,Portugal,POR,31573,1480,60.9,69.74,49.17,314.9,10581,5160,196,29.34,883,1.005,1.676,0.963,21.24,36.79,424,0.857,58.73,5.76,74.67,38.36,2.198,34.25,41.94
